"Row ID","Financial Year",Agency,"Appropriation Type",Actual,Estimate
1,2015-16,"DEPARTMENT OF COURTS","Provision of outputs (section 29 of the Financial Management  Act 1994 applies) ",295262000,295262000
2,2015-16,"DEPARTMENT OF COURTS","Additions to the net asset base (section 29 of the Financial Management Act 1994 applies)",2528000,47605000
3,2015-16,"DEPARTMENT OF ECONOMIC DEVELOPMENT, JOBS, TRANSPORT AND RESOURCES"," Provision of outputs (section 29 of the Financial Management Act 1994 applies) ",6411183000,6479734000
4,2015-16,"DEPARTMENT OF ECONOMIC DEVELOPMENT, JOBS, TRANSPORT AND RESOURCES","Additions to the net asset base (section 29 of the Financial Management Act 1994 applies) ",1951383000,1808391000
5,2015-16,"DEPARTMENT OF ECONOMIC DEVELOPMENT, JOBS, TRANSPORT AND RESOURCES","Payments made on behalf of the State",64538000,66767000
6,2015-16,"DEPARTMENT OF ECONOMIC DEVELOPMENT, JOBS, TRANSPORT AND RESOURCES","Payment to Regional Growth Fund pursuant to section 4 of the Regional Growth Fund Act 2011",121377000,125000000
7,2015-16,"DEPARTMENT OF EDUCATION AND TRAINING","Provision of outputs (section 29 of the Financial Management Act 1994 applies) ",10211944000,10840317000
8,2015-16,"DEPARTMENT OF ENVIRONMENT, LAND, WATER AND PLANNING","Provision of outputs (section 29 of the Financial Management Act 1994 applies)",1118297000,996730000
9,2015-16,"DEPARTMENT OF ENVIRONMENT, LAND, WATER AND PLANNING","Additions to the net asset base (section 29 of the Financial Management Act 1994 applies)",120942000,32484000
10,2015-16,"DEPARTMENT OF ENVIRONMENT, LAND, WATER AND PLANNING","Payments made on behalf of the State",666000000,620000000
11,2015-16,"DEPARTMENT OF ENVIRONMENT, LAND, WATER AND PLANNING","Contributions by the State under agreements pursuant to section 25 of the Murray- Darling Basin Act 1993 ",30650000,21800000
12,2015-16,"DEPARTMENT OF HEALTH AND HUMAN SERVICES","Provision of outputs (section 29 of the Financial Management Act 1994 applies)",11255851000,11865518000
13,2015-16,"DEPARTMENT OF HEALTH AND HUMAN SERVICES","Additions to the net asset base (section 29 of the Financial Management Act 1994 applies) ",157487000,147087000
14,2015-16,"DEPARTMENT OF JUSTICE AND REGULATION","Provision of outputs (section 29 of the Financial Management Act 1994 applies) ",4945332000,5156798000
15,2015-16,"DEPARTMENT OF JUSTICE AND REGULATION"," Additions to the net asset base (section 29 of the Financial Management Act 1994 applies) ",738982000,345335000
16,2015-16,"DEPARTMENT OF JUSTICE AND REGULATION","Payments made on behalf of the State ",54461000,54461000
17,2015-16,"DEPARTMENT OF JUSTICE AND REGULATION","Victorian Law Reform Commission - pursuant to section 17(b) of the Victorian Law Reform Commission Act 2000 ",721000,707000
18,2015-16,"DEPARTMENT OF PREMIER AND CABINET","Provision of outputs  (section 29 of the Financial Management Act 1994 applies) ",294791000,320441000
19,2015-16,"DEPARTMENT OF PREMIER AND CABINET","Additions to the net asset base (section 29 of the Financial Management Act 1994 applies)",5161000,2736000
20,2015-16,"DEPARTMENT OF PREMIER AND CABINET","Payments made on behalf of the State ",3500000,0
21,2015-16,"DEPARTMENT OF TREASURY AND FINANCE","Provision of outputs (section 29 of the Financial Management Act 1994 applies) ",222960000,235651000
22,2015-16,"DEPARTMENT OF TREASURY AND FINANCE","Additions to the net asset base (section 29 of the Financial Management Act 1994 applies)",24427000,4230000
23,2015-16,"DEPARTMENT OF TREASURY AND FINANCE","Payments made on behalf of the State",1753223000,1781946000
24,2015-16,"DEPARTMENT OF TREASURY AND FINANCE","Advance to Treasurer",681107000,991214000
25,2014-15,"DEPARTMENT OF COURTS"," Provision of outputs (section 29 of the Financial Management Act 1994 applies)",247887000,234137000
26,2014-15,"DEPARTMENT OF COURTS","Additions to the net asset base  (section 29 of the Financial Management Act 1994 applies)",0,2528000
27,2014-15,"DEPARTMENT OF EDUCATION AND EARLY CHILDHOOD DEVELOPMENT","Provision of outputs (section 29 of the Financial Management  Act 1994 applies)",9603806000,10211944000
29,2014-15,"DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES"," Provision of outputs  (section 29 of the Financial Management Act 1994 applies)   ",1205001000,1253619000
30,2014-15,"DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES"," Additions to the net asset base (section 29 of the Financial Management Act 1994 applies) ",104386000,111169000
31,2014-15,"DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES"," Payments made on behalf of the State",893313000,666000000
32,2014-15,"DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES"," Provision of outputs Victorian Water Trust (section 29 of the Financial Management Act 1994 applies) ",14000,0
33,2014-15,"DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES","Contributions by the State under agreements pursuant to section 25 of the Murray- Darling Basin Act 1993",26000000,30650000
34,2014-15,"DEPARTMENT OF HEALTH","Provision of outputs (section 29 of the Financial Management Act 1994 applies) ",6978374000,7498235000
35,2014-15,"DEPARTMENT OF HEALTH","Additions to the net asset base  (section 29 of the Financial Management Act 1994 applies)",295119000,88911000
36,2014-15,"DEPARTMENT OF HUMAN SERVICES","Provision of outputs  (section 29 of the Financial Management Act 1994 applies)",3534576000,3711252000
37,2014-15,"DEPARTMENT OF HUMAN SERVICES"," Additions to the net asset base (section 29 of the Financial Management Act 1994 applies)",84007000,63656000
38,2014-15,"DEPARTMENT OF JUSTICE","Provision of outputs (section 29 of the Financial Management Act 1994 applies) ",4543755000,5008233000
39,2014-15,"DEPARTMENT OF JUSTICE"," Additions to the net asset base (section 29 of the Financial Management Act 1994 applies)",708894000,739115000
40,2014-15,"DEPARTMENT OF JUSTICE","Payments made on behalf of the State",54461000,54461000
41,2014-15,"DEPARTMENT OF JUSTICE"," Victorian Law Reform Commission - pursuant to section 17(b) of the Victorian Law Reform Commission Act 2000",747000,721000
42,2014-15,"DEPARTMENT OF PREMIER AND CABINET","Provision of outputs  (section 29 of the Financial Management Act 1994 applies)",561669000,577741000
43,2014-15,"DEPARTMENT OF PREMIER AND CABINET"," Additions to the net asset base  (section 29 of the Financial Management Act 1994 applies) ",16237000,21519000
44,2014-15,"DEPARTMENT OF PREMIER AND CABINET","Payments made on behalf of the State ",0,3500000
45,2014-15,"DEPARTMENT OF STATE DEVELOPMENT, BUSINESS AND INNOV","Provision of outputs (section 29 of the Financial Management Act 1994 applies)",615786000,616662000
46,2014-15,"DEPARTMENT OF STATE DEVELOPMENT, BUSINESS AND INNOV","Additions to the net asset base (section 29 of the Financial Management Act 1994 applies) ",81367000,98486000
47,2014-15,"DEPARTMENT OF STATE DEVELOPMENT, BUSINESS AND INNOV","Payments made on behalf of the State",64000000,63688000
48,2014-15,"DEPARTMENT OF STATE DEVELOPMENT, BUSINESS AND INNOV"," Payment to Regional Growth Fund pursuant to section 4 of the Regional Growth Fund Act 2011 ",136000000,121377000
