"subs","value"
"ALBERT PARK",8750000
"ALEXANDRA",3620000
"ALPHINGTON",5.5e+07
"ALTONA",6006000
"ASHWOOD",5e+06
"ASPENDALE GARDENS",1200000
"ATTWOOD",64124000
"AVALON",1300000
"BACCHUS MARSH",11108000
"BAIRNSDALE",1500000
"BALLAN",14797000
"BALLARAT CENTRAL",96095000
"BALLARAT EAST",6e+06
"BALLARAT CENTRAL",8e+06
"BALMORAL",1747000
"BANGHOLME",628893000
"BANYULE",8e+05
"BARWON",3.5e+07
"BARWON HEADS",3400000
"BARWON",1472389000
"BAW BAW",10100000
"BAYSWATER NORTH",2343000
"BEAUFORT",5e+06
"BEAUMARIS",6500000
"BEECHWORTH",1900000
"BELLBRAE",2500000
"BELMONT",2186000
"BENALLA",8432000
"BENDIGO",152036000
"BENTLEIGH",16150000
"BENTLEIGH EAST",20900000
"BERWICK",106300000
"BEVERIDGE",28488500
"BLIND BIGHT",1200000
"BONBEACH",340000
"BONEO",122848000
"BOORT",1.4e+07
"BORONIA",6549000
"BOX HILL",447500000
"BRIDGEWATER",3123000
"BRIGHT",7518000
"BRIGHTON EAST",8e+06
"BROADFORD",26770000
"BRUNSWICK",1e+07
"BURWOOD EAST",2200000
"CAMPERDOWN",1387000
"CARDINIA",83609000
"CARLTON",1.9e+07
"CAROLINE SPRINGS",1050000
"CASEY",101086000
"CASTERTON",3360000
"CASTLEMAINE",20476000
"CAULFIELD EAST",950000
"CHARLTON",23260000
"CHELTENHAM",21560000
"CHURCHILL",3088000
"CLAYTON",275900000
"CLIFTON SPRINGS",1100000
"COBRAM",9885000
"COBURG",3500000
"COHUNA",14463000
"COLIBAN",4620000
"CORIO",6e+06
"COWES",14804000
"CRAIGIEBURN",110416333.333333
"CRANBOURNE",1940000
"CROYDON",5e+06
"CURDIEVALE",2187000
"DANDENONG",23840500
"DANDENONG NORTH",7e+06
"DANDENONG SOUTH",53424000
"DAYLESFORD",1e+07
"DELACOMBE",2e+06
"DERRIMUT",10505000
"DINGLEY VILLAGE",155700000
"DOCKLANDS",31700000
"DOOKIE",1790000
"DOREEN",35950000
"DROMANA",37687500
"DROUIN",20515000
"DRYSDALE",5150000
"DUTSON",3531000
"DUTSON DOWNS",3107000
"EAGLEHAWK",1592000
"EAST GEELONG",20500000
"WERRIBEE",32690000
"ECHUCA",161277000
"ELTHAM",2600000
"ELTHAM NORTH",2500000
"ELWOOD",1e+07
"EMERALD",1500000
"EPPING",591682000
"EPPING",49676000
"EPSOM",7114000
"ESSENDON",14101000
"EUROA",17440000
"FAIRHAVEN",3500000
"FALLS CREEK",2590000
"FISKVILLE",11356000
"FOOTSCRAY",152733000
"FOSTER",2724000
"FRANKSTON",121953000
"FRANKSTON NORTH",4e+06
"GEELONG",188450000
"GIPPSLAND",32797000
"GISBORNE",12805000
"GLEN EIRA",3900000
"GLEN HUNTLY",390000
"GLEN IRIS",8017000
"GLEN WAVERLEY",17773000
"GREENSBOROUGH",1e+06
"GREENVALE",2048000
"GROVEDALE",1.2e+07
"HAMILTON",2577000
"HAMPTON PARK",5e+06
"HARCOURT",40471000
"HAWTHORN EAST",607000
"HAZELWOOD",767000
"HEALESVILLE",4560000
"HEATHCOTE",7038000
"HEATHMONT",3500000
"HEIDELBERG",169228000
"HEYWOOD",4045000
"HIGHTON",4828000
"HORSHAM",1e+07
"HUNTLY",1414000
"HUNTLY",4383000
"INVERLOCH",8366000
"JERUSALEM CREEK",5239000
"KALKALLO",93216333.3333333
"KEILOR EAST",1e+07
"KERANG",2800000
"KEW",5.5e+07
"KEYSBOROUGH",5e+05
"KIALLA",1575000
"KILMORE",22845000
"KINGLAKE",109000
"KINGSTON",1560000
"KOO WEE RUP",69760000
